MA기간,ROC기간,신호수,승률_5d,평균수익_5d,평균알파_5d,승률_10d,평균수익_10d,평균알파_10d,승률_20d,평균수익_20d,평균알파_20d
10,5,12188,49.3,0.74,-0.02,51.7,1.79,0.09,53.6,3.57,0.04
10,10,8600,50.2,1.0,0.21,52.7,1.97,0.33,54.7,3.89,0.32
10,14,7816,50.5,0.85,0.02,53.3,1.85,0.12,55.0,3.95,0.14
10,21,7402,50.4,0.86,0.04,52.6,1.87,0.19,54.5,3.69,0.12
14,5,11785,50.3,0.91,0.09,51.9,1.84,0.16,53.7,3.64,0.07
14,10,8541,49.3,0.89,0.13,51.9,1.69,0.08,53.7,3.6,0.06
14,14,7234,50.8,0.77,-0.07,53.1,1.78,0.06,54.1,3.74,-0.1
14,21,6542,50.8,0.99,0.04,52.7,1.92,0.12,54.8,3.81,0.05
21,5,11732,49.5,0.83,0.06,51.8,1.75,0.06,53.6,3.61,-0.02
21,10,7941,49.4,0.83,0.1,51.9,1.78,0.23,53.8,3.71,-0.01
21,14,6864,51.7,0.93,0.07,53.0,1.86,0.11,54.5,3.8,-0.05
21,21,5817,51.1,1.06,0.06,53.2,1.99,0.12,55.1,3.77,-0.1
28,5,11668,49.8,0.9,0.13,52.0,1.88,0.12,53.9,3.72,-0.02
28,10,7682,50.0,0.98,0.19,51.8,1.99,0.27,53.4,3.79,0.04
28,14,6375,50.2,0.92,0.08,52.8,1.84,0.11,53.8,3.77,-0.06
28,21,5484,49.6,0.89,-0.04,51.9,1.76,-0.04,53.7,3.41,-0.27
